5.32,0
5.31,0
5.38,0
5.46,0
5.52,0
5.64,0
5.8,0
5.86,0
5.92,0
5.94,0
6.0,0
5.95,0
6.06,0
6.1,0
6.1,0
6.14,0
6.18,0
6.18,0
6.22,0
6.2,0
6.06,0
6.09,0
6.24,0
6.14,0
6.18,0
6.2,0
6.27,0
6.42,0
6.38,0
6.32,0
6.48,0
6.52,0
6.45,0
6.48,0
6.52,0
6.64,0
6.72,0
7.07,0
6.76,0
6.8,0
7.18,0
7.02,0
7.19,0
7.21,0
7.34,0
7.29,0
7.64,0
7.2,0
7.2,0
7.36,0
7.58,0
7.5,0
7.35,0
7.78,0
7.8,0
7.98,0
7.76,0
8.36,0
8.12,0
8.67,0
8.52,0
9.04,0
8.52,0
8.9,0
9.08,0
9.31,0
9.12,0
9.28,0
9.12,0
8.61,0
9.02,0
9.24,0
8.85,0
9.55,0
9.37,0
9.88,0
9.81,0
9.54,0
9.66,0
9.56,0
9.54,0
9.93,0
9.42,0
9.82,0
9.9,0
9.97,0
9.38,0
9.48,0
10.47,0
10.51,0
10.06,0
10.09,0
10.26,0
10.4,0
10.3,0
10.44,0
10.9,0
10.58,0
10.96,0
10.72,0
10.6,0
10.68,0
10.9,0
10.44,0
11.04,0
10.67,0
10.72,0
10.84,0
10.99,0
11.12,0
11.06,0
11.5,0
11.09,0
11.34,0
11.19,0
11.68,0
10.72,0
11.14,0
11.05,0
10.89,0
10.86,0
11.1,0
10.78,0
11.27,0
11.14,0
10.86,0
10.76,0
11.52,0
11.07,0
10.96,0
10.72,0
11.54,0
11.39,0
11.31,0
11.64,0
11.5,0
11.62,0
11.4,0
11.89,0
11.44,0
11.8,0
11.94,0
11.75,0
11.26,0
11.85,0
11.44,0
12.14,0
11.78,0
11.85,0
11.84,0
12.01,0
12.12,0
11.6,0
11.82,0
11.63,0
11.2,0
11.46,0
11.28,0
11.6,0
11.68,0
11.96,0
11.93,0
11.9,0
11.87,0
11.88,0
11.39,0
11.64,0
11.86,0
11.9,0
11.94,0
11.91,0
12.34,0
11.82,0
11.59,0
11.52,0
12.26,0
11.98,0
11.74,0
11.76,0
12.11,0
12.11,0
12.08,0
11.28,0
11.46,0
11.86,0
12.44,0
12.04,0
11.71,0
12.07,0
11.89,0
11.82,0
11.84,0
11.99,0
12.0,0
12.72,0
11.85,0
12.14,0
12.32,0
12.18,0
11.88,0
12.16,0
12.04,0
12.22,0
11.76,0
12.38,0
11.79,0
12.3,0
12.18,0
12.39,0
12.02,0
11.87,0
11.41,0
11.74,0
11.98,0
11.59,0
11.54,0
12.43,0
12.01,0
12.02,0
12.06,0
11.99,0
11.31,0
12.1,0
11.84,0
12.42,0
12.43,0
12.32,0
11.62,0
11.32,0
11.94,0
11.93,0
12.13,0
11.99,0
11.88,0
11.9,0
11.5,0
11.22,0
11.46,0
11.56,0
11.46,0
11.7,0
11.85,0
11.63,0
11.38,0
11.3,0
11.43,0
11.43,0
11.38,0
11.3,0
11.22,0
11.37,0
10.83,0
10.84,0
11.37,0
11.14,0
11.34,0
11.78,0
11.77,0
11.7,0
10.72,0
10.47,0
10.18,0
9.96,0
9.92,0
9.85,0
9.63,0
9.56,0
9.5,0
9.42,0
9.44,0
9.32,0
9.22,0
9.23,0
9.08,0
9.07,0
9.02,0
9.03,0
9.02,0
9.06,0
9.08,0
9.11,0
9.15,0
9.15,0
9.04,0
8.94,0
8.86,0
8.8,0
8.66,0
8.55,0
8.47,0
8.44,0
8.54,0
8.36,0
8.35,0
8.32,0
8.22,0
8.2,0
8.22,0
8.17,0
8.23,0
8.19,0
8.2,0
8.22,0
8.38,0
8.24,0
8.23,0
8.32,0
8.43,0
8.38,0
8.17,0
8.14,0
8.02,0
8.01,0
8.25,0
8.27,0
8.08,0
8.04,0
7.96,0
7.84,0
7.68,0
8.2,0
8.41,0
8.53,0
8.64,0
8.62,0
8.76,0
8.68,0
8.65,0
8.67,0
8.76,0
8.74,0
8.72,0
8.66,0
8.63,0
8.68,0
8.54,0
8.66,0
8.52,0
8.56,0
8.36,0
8.26,0
8.52,0
8.02,0
8.02,0
8.07,0
8.36,0
8.29,0
8.3,0
8.46,0
8.48,0
8.48,0
8.54,0
8.51,0
8.51,0
8.58,0
8.82,0
8.81,0
8.84,0
8.9,0
8.98,0
9.16,0
9.15,0
9.56,0
9.79,0
9.61,0
9.54,0
9.7,0
9.94,0
9.72,0
9.7,0
9.82,0
9.84,0
9.68,0
9.68,0
9.61,0
9.66,0
9.71,0
9.62,0
9.81,0
9.72,0
9.7,0
9.36,0
9.18,0
9.19,0
9.4,0
9.4,0
9.3,0
9.24,0
9.3,0
9.26,0
9.35,0
9.19,0
9.06,0
9.14,0
9.06,0
9.06,0
9.16,0
9.24,0
9.24,0
9.24,0
9.22,0
9.22,0
9.1,0
9.34,0
9.22,0
9.44,0
9.36,0
9.32,0
9.44,0
9.32,0
9.35,0
9.45,0
9.1,0
9.32,0
9.05,0
9.04,0
9.24,0
9.26,0
9.44,0
9.43,0
9.14,0
9.13,0
8.91,0
8.72,0
8.82,0
9.13,0
8.96,0
8.9,0
8.65,0
8.54,0
8.62,0
8.58,0
8.63,0
8.57,0
8.61,0
8.76,0
8.76,0
8.7,0
8.56,0
8.5,0
8.6,0
8.52,0
8.55,0
8.6,0
8.6,0
8.64,0
8.51,0
8.44,0
8.43,0
8.44,0
8.48,0
8.53,0
8.48,0
8.62,0
8.59,0
8.55,0
8.6,0
8.54,0
8.44,0
8.47,0
8.64,0
8.57,0
8.56,0
8.64,0
8.58,0
8.47,0
8.51,0
8.54,0
8.53,0
8.6,0
8.52,0
8.44,0
8.42,0
8.28,0
8.61,0
8.73,0
8.76,0
8.57,0
8.48,0
8.43,0
8.41,0
8.32,0
8.24,0
8.26,0
8.28,0
8.18,0
8.18,0
8.19,0
8.14,0
8.14,0
8.13,0
8.06,0
8.03,0
8.04,0
8.05,0
8.06,0
8.03,0
7.98,0
8.3,0
8.46,0
8.3,0
8.39,0
8.29,0
8.2,0
8.13,0
8.05,0
7.98,0
7.92,0
7.96,0
8.02,0
8.12,0
8.3,0
8.31,0
8.23,0
8.4,0
8.21,0
8.16,0
8.16,0
8.18,0
8.2,0
8.14,0
8.16,0
8.58,0
8.26,0
8.36,0
8.36,0
8.26,0
8.39,0
8.3,0
8.3,0
8.6,0
8.89,0
8.62,0
8.65,0
8.42,0
8.43,0
8.52,0
8.64,0
8.54,0
8.19,0
8.32,0
8.42,0
8.34,0
8.23,0
8.42,0
8.36,0
8.63,0
8.69,0
8.73,0
8.59,0
8.52,0
8.3,0
8.45,0
8.61,0
8.34,0
8.21,0
8.2,0
8.46,0
8.44,0
8.56,0
8.64,0
8.49,0
8.47,0
8.34,0
8.4,0
8.24,0
8.26,0
8.19,0
8.07,0
7.96,0
8.4,0
8.42,0
8.43,0
8.38,0
8.12,0
7.94,0
7.75,0
7.78,0
7.63,0
7.42,0
7.21,0
7.21,0
7.21,0
7.2,0
7.1,0
7.16,0
7.18,0
7.11,0
7.21,0
7.21,0
7.26,0
7.21,0
7.24,0
7.3,0
7.2,0
7.21,0
7.21,0
7.21,0
7.22,0
7.24,0
7.38,0
7.43,0
7.59,0
7.55,0
7.48,0
7.6,0
7.53,0
7.5,0
7.34,0
7.46,0
7.38,0
7.39,0
7.34,0
7.21,0
7.21,0
7.3,0
7.24,0
7.5,0
7.39,0
7.42,0
7.86,0
7.97,0
7.89,0
8.02,0
7.86,0
7.92,0
7.8,0
7.9,0
7.76,0
7.7,0
7.46,0
7.21,0
7.19,0
7.11,0
7.02,0
7.04,0
6.98,0
7.22,0
7.15,0
7.12,0
7.09,0
7.41,0
7.22,0
7.43,0
7.68,0
7.26,0
7.31,0
7.34,0
7.44,0
7.08,0
6.92,0
6.96,0
6.95,0
7.36,0
7.47,0
7.58,0
7.52,0
7.32,0
7.52,0
7.39,0
7.22,0
7.24,0
7.0,0
7.08,0
6.78,0
6.86,0
6.99,0
6.9,0
7.32,0
7.21,0
7.37,0
7.34,0
7.69,0
7.79,0
7.74,0
7.74,0
7.72,0
7.74,0
7.88,0
7.67,0
7.84,0
8.16,0
8.1,0
7.88,0
7.78,0
7.74,0
7.72,0
7.65,0
7.75,0
7.78,0
7.66,0
7.46,0
7.21,0
7.2,0
7.17,0
7.34,0
7.48,0
7.6,0
7.69,0
7.63,0
7.57,0
7.69,0
7.64,0
7.47,0
7.26,0
7.06,0
7.24,0
7.43,0
7.58,0
7.6,0
7.61,0
7.78,0
7.84,0
7.86,0
7.81,0
7.63,0
7.52,0
7.59,0
7.51,0
7.24,0
7.43,0
7.6,0
7.28,0
7.36,0
7.46,0
7.41,0
7.46,0
7.32,0
7.35,0
7.62,0
7.72,0
7.85,0
7.64,0
7.67,0
8.0,0
7.97,0
7.86,0
8.0,0
8.08,0
8.34,0
8.08,0
8.06,0
7.9,0
7.86,0
7.88,0
8.02,0
7.98,0
8.03,0
7.99,0
8.06,0
8.24,0
8.26,0
8.32,0
8.36,0
8.38,0
8.46,0
8.54,0
8.51,0
8.53,0
8.56,0
8.68,0
8.8,0
8.76,0
8.83,0
8.77,0
8.8,0
8.77,0
8.9,0
8.89,0
9.0,0
9.02,0
9.16,0
9.14,0
9.29,0
9.28,0
9.58,0
9.6,0
9.42,0
10.09,0
10.28,0
10.18,0
10.88,0
10.06,0
10.5,0
10.23,0
10.58,0
10.4,0
9.63,0
9.9,0
9.94,0
9.96,0
10.02,0
9.9,0
10.14,0
10.07,0
10.71,0
10.68,0
10.8,0
11.5,0
11.24,0
11.11,0
11.14,0
10.83,0
10.62,0
10.14,0
10.84,0
10.86,0
11.15,0
11.47,0
10.69,0
11.02,0
11.4,0
11.24,0
11.32,0
10.77,0
11.5,0
10.86,0
10.97,0
10.88,0
11.47,0
11.75,0
11.79,0
11.04,0
11.12,0
11.48,0
11.22,0
11.16,0
11.22,0
10.52,0
10.88,0
11.1,0
10.71,0
10.52,0
10.54,0
10.8,0
10.87,0
11.01,0
11.23,0
11.08,0
11.16,0
11.16,0
10.89,0
11.09,0
11.23,0
11.3,0
11.32,0
11.63,0
11.53,0
11.26,0
11.25,0
11.35,0
11.47,0
11.3,0
11.44,0
11.3,0
11.48,0
11.46,0
11.82,0
11.76,0
11.75,0
11.52,0
11.48,0
11.38,0
11.5,0
11.74,0
12.0,0
11.9,0
11.71,0
12.22,0
12.46,0
11.97,0
12.09,0
12.38,0
12.3,0
12.16,0
12.0,0
11.96,0
11.94,0
12.38,0
12.2,0
12.16,0
12.34,0
12.72,0
12.2,0
12.96,0
12.72,0
12.85,0
13.58,0
13.3,0
13.39,0
12.47,0
13.22,0
13.37,0
13.68,0
13.22,0
13.51,0
13.26,0
13.68,0
13.56,0
13.17,0
13.24,0
13.54,0
13.57,0
13.46,0
12.27,0
12.97,0
13.58,0
13.4,0
13.34,0
13.2,0
13.06,0
13.54,0
13.72,0
13.87,0
13.56,0
14.02,0
13.34,0
13.69,0
13.03,0
13.23,0
13.52,0
13.58,0
13.79,0
12.96,0
12.98,0
12.38,0
12.86,0
12.78,0
13.32,0
12.77,0
13.31,0
13.64,0
13.49,0
13.12,0
13.38,0
13.32,0
12.9,0
11.86,0
12.28,0
12.64,0
12.67,0
13.63,0
13.52,0
13.6,0
13.14,0
12.8,0
12.48,0
12.66,0
12.72,0
13.1,0
12.87,0
12.8,0
12.49,0
12.2,0
12.75,0
12.1,0
11.74,0
11.76,0
12.06,0
12.09,0
12.44,0
12.53,0
12.42,0
12.36,0
12.36,0
12.38,0
12.44,0
11.83,0
11.44,0
11.02,0
10.93,0
10.72,0
10.64,0
10.76,0
10.68,0
10.53,0
10.44,0
10.48,0
10.48,0
10.4,0
10.36,0
10.26,0
10.31,0
10.2,0
10.24,0
10.17,0
10.19,0
10.09,0
10.04,0
9.98,0
10.08,0
10.09,0
10.68,0
10.56,0
10.44,0
10.28,0
10.32,0
10.45,0
10.53,0
10.5,0
10.29,0
10.21,0
10.14,0
10.3,0
10.18,0
10.18,0
10.46,0
10.31,0
10.38,0
10.22,0
10.13,0
10.2,0
10.21,0
10.15,0
10.2,0
10.25,0
10.27,0
10.38,0
10.26,0
10.24,0
10.32,0
10.24,0
10.17,0
10.11,0
10.17,0
10.1,0
10.2,0
10.28,0
10.12,0
10.11,0
10.03,0
10.06,0
9.95,0
9.97,0
9.94,0
9.85,0
9.8,0
9.72,0
9.88,0
9.86,0
9.9,0
9.91,0
9.96,0
9.86,0
9.81,0
9.89,0
9.98,0
9.96,0
10.1,0
10.01,0
9.92,0
9.74,0
9.74,0
9.7,0
9.7,0
9.74,0
9.74,0
9.78,0
9.76,0
9.8,0
9.82,0
9.8,0
9.75,0
9.61,0
9.56,0
9.46,0
9.37,0
9.3,0
9.24,0
9.24,0
9.2,0
9.15,0
9.2,0
9.16,0
9.16,0
9.08,0
9.06,0
9.08,0
8.94,0
9.06,0
9.06,0
9.0,0
8.88,0
8.84,0
8.74,0
8.68,0
8.6,0
8.62,0
8.63,0
8.59,0
8.58,0
8.56,0
8.5,0
8.5,0
8.54,0
8.54,0
8.5,0
8.54,0
8.62,0
8.68,0
8.64,0
8.58,0
8.7,0
8.65,0
8.56,0
8.53,0
8.5,0
8.47,0
8.5,0
8.54,0
8.57,0
8.54,0
8.56,0
8.58,0
8.72,0
8.72,0
8.74,0
8.6,0
8.52,0
8.52,0
8.48,0
8.4,0
8.38,0
8.4,0
8.44,0
8.54,0
8.66,0
8.46,0
8.34,0
8.26,0
8.2,0
8.14,0
8.12,0
8.11,0
8.14,0
8.18,0
8.16,0
8.16,0
8.16,0
8.16,0
8.2,0
8.3,0
8.32,0
8.35,0
8.3,0
8.24,0
8.2,0
8.16,0
8.1,0
8.07,0
8.12,0
8.1,0
8.1,0
8.09,0
8.08,0
8.08,0
8.07,0
8.18,0
8.19,0
8.18,0
8.15,0
8.12,0
8.1,0
8.08,0
8.03,0
8.02,0
8.06,0
8.06,0
8.06,0
7.97,0
7.94,0
8.04,0
8.04,0
8.34,0
8.16,0
8.12,0
8.06,0
8.0,0
7.98,0
7.87,0
7.88,0
7.83,0
7.94,0
7.93,0
8.18,0
8.08,0
8.13,0
7.98,0
8.01,0
8.08,0
7.98,0
7.96,0
7.99,0
7.9,0
7.95,0
7.92,0
7.9,0
7.9,0
7.86,0
7.81,0
7.84,0
7.87,0
7.84,0
7.84,0
7.84,0
7.82,0
7.81,0
7.72,0
7.85,0
7.81,0
7.79,0
7.79,0
7.8,0
7.85,0
7.78,0
7.78,0
7.8,0
7.8,0
7.84,0
7.88,0
7.82,0
7.83,0
7.78,0
7.7,0
7.69,0
7.68,0
7.65,0
7.7,0
7.7,0
7.65,0
7.63,0
7.61,0
7.59,0
7.54,0
7.54,0
7.51,0
7.51,0
7.49,0
7.48,0
7.46,0
7.48,0
7.49,0
7.52,0
7.54,0
7.58,0
7.59,0
7.53,0
7.62,0
7.54,0
7.55,0
7.54,0
7.52,0
7.59,0
7.6,0
7.82,0
7.79,0
7.73,0
7.68,0
7.82,0
7.81,0
7.92,0
8.29,0
8.19,0
7.94,0
7.84,0
7.84,0
7.81,0
7.85,0
7.88,0
7.92,0
7.89,0
7.86,0
7.98,0
7.87,0
7.74,0
7.68,0
7.68,0
7.62,0
7.63,0
7.63,0
7.61,0
7.64,0
7.74,0
7.75,0
7.76,0
7.76,0
7.78,0
7.81,0
7.78,0
7.8,0
7.79,0
7.71,0
7.48,0
7.21,0
7.14,0
7.05,0
6.97,0
6.9,0
6.96,0
7.0,0
6.89,0
6.91,0
7.0,0
7.05,0
7.15,0
7.12,0
7.05,0
7.03,0
7.08,0
7.04,0
7.08,0
6.93,0
7.08,0
7.21,0
7.36,0
7.34,0
7.34,0
7.39,0
7.6,0
7.6,0
7.64,0
7.73,0
7.94,0
7.9,0
7.97,0
7.91,0
7.74,0
7.64,0
7.62,0
7.65,0
7.74,0
8.06,0
8.04,0
7.95,0
7.96,0
7.84,0
7.96,0
7.77,0
7.96,0
7.8,0
7.67,0
7.66,0
7.68,0
7.78,0
7.79,0
7.65,0
7.5,0
7.44,0
7.58,0
7.44,0
7.24,0
7.32,0
7.24,0
7.21,0
7.38,0
7.26,0
7.24,0
7.21,0
7.22,0
7.21,0
7.16,0
7.14,0
7.22,0
7.12,0
7.23,0
7.21,0
7.17,0
7.21,0
7.16,0
7.08,0
7.14,0
7.04,0
6.96,0
6.82,0
6.87,0
6.88,0
7.14,0
6.86,0
7.0,0
7.0,0
7.03,0
6.9,0
6.94,0
6.9,0
6.84,0
6.96,0
7.01,0
6.88,0
6.87,0
6.83,0
6.92,0
7.08,0
7.02,0
6.96,0
6.98,0
6.88,0
6.98,0
7.18,0
7.07,0
7.1,0
7.12,0
7.01,0
6.94,0
6.98,0
6.94,0
6.94,0
6.9,0
6.88,0
6.96,0
7.04,0
7.12,0
7.13,0
7.11,0
7.2,0
7.18,0
7.21,0
7.12,0
7.04,0
6.98,0
6.94,0
6.94,0
6.98,0
6.94,0
6.98,0
7.2,0
7.21,0
7.02,0
7.03,0
7.12,0
7.15,0
6.99,0
6.96,0
7.41,0
7.19,0
7.16,0
7.2,0
7.21,0
7.54,0
7.52,0
7.62,0
7.67,0
7.7,0
7.62,0
7.64,0
7.66,0
7.75,0
7.71,0
7.91,0
7.88,0
7.76,0
7.68,0
7.73,0
7.66,0
7.78,0
7.69,0
7.7,0
7.56,0
7.85,0
7.96,0
8.04,0
7.94,0
8.1,0
7.85,0
7.9,0
8.06,0
8.17,0
8.15,0
8.1,0
8.25,0
8.2,0
8.22,0
8.29,0
8.36,0
8.38,0
8.36,0
8.46,0
8.53,0
8.4,0
8.49,0
8.58,0
8.62,0
8.62,0
8.58,0
8.59,0
8.58,0
8.53,0
8.55,0
8.5,0
8.56,0
8.57,0
8.63,0
8.77,0
8.94,0
9.0,0
8.92,0
9.2,0
10.08,0
9.91,0
10.33,0
10.26,0
10.33,0
10.3,0
11.08,0
11.12,0
10.36,0
10.62,0
11.0,0
10.86,0
11.06,0
11.0,0
11.3,0
10.72,0
11.26,0
11.76,0
11.45,0
11.32,0
11.15,0
10.96,0
11.3,0
11.74,0
10.96,0
11.07,0
11.4,0
11.88,0
11.06,0
11.27,0
10.76,0
10.44,0
10.64,0
10.77,0
11.3,0
11.17,0
11.84,0
11.26,0
10.94,0
10.45,0
10.32,0
10.44,0
10.61,0
10.62,0
10.45,0
10.26,0
10.36,0
10.54,0
10.71,0
10.56,0
10.7,0
10.85,0
10.76,0
10.54,0
10.94,0
11.47,0
11.16,0
10.92,0
11.1,0
11.14,0
10.91,0
10.9,0
10.46,0
10.65,0
10.75,0
10.67,0
10.67,0
10.45,0
10.28,0
10.14,0
10.21,0
10.16,0
10.14,0
10.08,0
9.98,0
10.0,0
9.85,0
9.88,0
9.86,0
9.84,0
9.84,0
9.84,0
10.02,0
10.02,0
10.08,0
10.02,0
10.08,0
10.16,0
10.12,0
10.17,0
10.13,0
10.16,0
10.45,0
10.68,0
10.64,0
11.36,0
11.18,0
11.0,0
10.97,0
11.28,0
11.07,0
11.28,0
11.21,0
11.06,0
10.81,0
10.88,0
10.88,0
10.92,0
10.89,0
10.72,0
10.68,0
10.68,0
10.86,0
10.86,0
10.68,0
10.74,0
10.83,0
10.67,0
10.6,0
10.51,0
10.46,0
10.43,0
10.36,0
10.42,0
10.4,0
10.36,0
10.29,0
10.16,0
10.14,0
10.02,0
10.11,0
10.28,0
10.26,0
10.24,0
10.25,0
10.16,0
10.08,0
10.05,0
9.93,0
10.0,0
9.98,0
10.0,0
9.81,0
9.63,0
9.55,0
9.49,0
9.38,0
9.36,0
9.2,0
9.57,0
9.64,0
9.81,0
10.23,0
10.56,0
10.86,0
10.62,0
11.21,0
11.28,0
11.07,0
10.79,0
10.89,0
11.02,0
11.68,0
11.8,0
12.02,0
11.54,0
11.4,0
11.56,0
11.35,0
12.16,0
11.9,0
11.54,0
11.78,0
12.38,0
11.04,0
11.28,0
10.76,0
11.23,0
11.69,0
11.09,0
11.45,0
11.38,0
11.26,0
11.06,0
10.88,0
10.64,0
11.58,0
11.16,0
10.84,0
10.7,0
9.97,0
10.48,0
10.66,0
11.06,0
11.18,0
10.84,0
10.56,0
10.3,0
10.36,0
10.32,0
10.2,0
9.86,0
10.08,0
10.04,0
9.99,0
10.35,0
10.5,0
10.44,0
10.52,0
10.5,0
10.34,0
10.37,0
10.24,0
10.46,0
10.52,0
10.48,0
10.44,0
10.38,0
10.24,0
10.39,0
10.4,0
10.5,0
10.46,0
10.4,0
10.4,0
10.37,0
10.31,0
10.0,0
10.06,0
9.9,0
9.46,0
10.14,0
10.06,0
9.98,0
10.1,0
9.67,0
9.24,0
8.79,0
8.94,0
8.94,0
9.03,0
8.96,0
8.9,0
9.05,0
9.24,0
8.8,0
8.75,0
8.69,0
8.56,0
8.43,0
8.3,0
8.18,0
8.16,0
8.08,0
8.04,0
7.96,0
7.91,0
7.9,0
8.04,0
8.12,0
8.08,0
8.09,0
8.09,0
8.14,0
8.14,0
8.12,0
8.59,0
8.77,0
8.8,0
8.87,0
8.78,0
8.62,0
8.6,0
8.58,0
8.45,0
8.44,0
8.33,0
8.36,0
8.3,0
8.33,0
8.31,0
8.51,0
8.46,0
8.43,0
8.3,0
8.39,0
8.33,0
8.29,0
8.3,0
8.28,0
8.31,0
8.25,0
8.21,0
8.14,0
8.14,0
8.19,0
8.16,0
8.15,0
8.09,0
8.12,0
8.08,0
8.1,0
8.12,0
8.14,0
8.14,0
8.06,0
8.02,0
8.01,0
8.04,0
8.12,0
8.05,0
7.96,0
7.93,0
7.88,0
7.84,0
7.78,0
7.74,0
7.76,0
7.77,0
7.8,0
7.84,0
7.83,0
7.8,0
7.78,0
7.72,0
7.69,0
7.62,0
7.58,0
7.51,0
7.51,0
7.5,0
7.49,0
7.52,0
7.45,0
7.44,0
7.36,0
7.33,0
7.4,0
7.42,0
7.44,0
7.48,0
7.47,0
7.44,0
7.43,0
7.44,0
7.35,0
7.4,0
7.34,0
7.3,0
7.37,0
7.42,0
7.37,0
7.47,0
7.44,0
7.52,0
7.38,0
7.38,0
7.4,0
7.39,0
7.42,0
7.38,0
7.33,0
7.3,0
7.31,0
7.32,0
7.3,0
7.3,0
7.42,0
7.36,0
7.42,0
7.4,0
7.5,0
7.52,0
7.64,0
7.74,0
7.74,0
7.76,0
7.84,0
7.84,0
7.74,0
7.8,0
7.75,0
7.58,0
7.44,0
7.38,0
7.4,0
7.45,0
7.52,0
7.42,0
7.32,0
7.39,0
7.38,0
7.38,0
7.44,0
7.47,0
7.43,0
7.48,0
7.5,0
7.42,0
7.35,0
7.33,0
7.32,0
7.44,0
7.21,0
6.5,0
6.48,0
6.45,0
6.68,0
6.4,0
6.45,0
6.62,0
6.72,0
6.66,0
6.62,0
6.46,0
6.31,0
6.26,0
6.3,0
6.42,0
6.36,0
6.51,0
6.43,0
6.46,0
6.34,0
6.78,0
6.56,0
6.42,0
6.4,0
6.23,0
6.04,0
6.1,0
5.99,0
5.91,0
5.82,0
5.82,0
5.82,0
5.78,0
5.66,0
5.71,0
5.75,0
5.78,0
5.78,0
5.72,0
5.59,0
5.5,0
5.46,0
5.45,0
5.17,0
5.08,0
5.03,0
5.3,0
5.07,0
4.94,0
4.84,0
5.02,0
5.13,0
5.34,0
5.12,0
5.09,0
5.24,0
5.82,0
6.16,0
5.9,0
5.93,0
6.34,0
6.34,0
6.21,0
6.08,0
6.14,0
6.2,0
6.04,0
5.86,0
5.94,0
6.06,0
6.11,0
5.97,0
6.04,0
5.9,0
5.85,0
5.82,0
5.89,0
5.79,0
5.9,0
5.82,0
5.92,0
5.84,0
5.78,0
5.72,0
5.82,0
5.69,0
5.72,0
5.74,0
5.8,0
5.7,0
6.04,0
6.12,0
6.06,0
5.7,0
5.5,0
5.4,0
6.26,0
6.29,0
6.35,0
6.28,0
6.36,0
6.14,0
6.14,0
6.1,0
6.22,0
6.48,0
6.53,0
6.7,0
6.64,0
6.62,0
6.48,0
6.8,0
6.77,0
6.6,0
6.76,0
6.68,0
6.69,0
6.64,0
6.48,0
6.53,0
6.44,0
6.31,0
6.4,0
6.47,0
6.42,0
6.49,0
6.37,0
6.3,0
6.28,0
6.1,0
6.12,0
6.01,0
5.97,0
5.95,0
5.92,0
5.86,0
5.78,0
5.72,0
5.66,0
5.65,0
5.62,0
5.68,0
5.62,0
5.59,0
5.58,0
5.56,0
5.5,0
5.5,0
5.42,0
5.7,0
5.76,0
5.41,0
5.32,0
5.16,0
5.02,0
